Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,45.8,46.21,47.15,48.14,49.21,50.36,51.30,52.34,53.48,54.68,55.84,56.23,56.15,56.20,56.38,56.64,56.82,57.02,57.28,57.63,58.04,58.49,58.91,59.31,59.72,59.40,59.03,59.02
Cambodia,77.0,77.09,77.18,77.32,77.29,77.19,77.07,77.42,77.66,77.92,76.62,81.58,80.00,78.09,75.71,76.91,78.07,79.16,80.20,81.02,81.84,81.61,81.37,81.15,80.97,80.82,80.70,80.94
Indonesia,44.5,46.45,48.42,48.57,48.73,48.88,49.02,49.17,49.95,50.74,50.58,50.46,50.35,50.23,50.09,49.94,50.29,50.66,51.05,51.10,51.86,51.44,51.01,50.57,50.45,48.88,50.76,50.74
Lao PDR,79.9,79.94,79.97,79.99,79.96,79.95,79.79,79.63,79.46,79.27,79.06,78.85,78.62,78.38,78.12,77.86,77.64,77.42,77.21,77.01,76.84,76.81,76.81,76.80,76.81,76.80,76.76,76.87
Malaysia,45.5,45.37,45.26,45.13,45.02,44.89,44.76,44.69,44.85,44.77,44.66,44.55,44.38,44.23,44.09,44.01,43.85,43.70,43.04,43.61,43.45,45.03,46.34,48.99,49.94,50.31,50.59,50.78
Myanmar,61.2,61.27,60.97,60.79,60.55,60.33,60.14,59.98,59.80,59.41,58.90,58.41,57.90,57.30,56.71,56.12,55.51,54.95,54.46,53.97,53.51,53.21,52.86,52.48,52.12,51.76,51.45,51.27
Philippines,46.6,46.87,47.02,47.21,47.11,47.14,47.01,46.98,47.17,47.20,47.11,47.28,47.26,47.14,46.84,47.69,48.11,48.20,47.65,48.40,48.60,49.35,48.95,48.87,49.64,49.41,49.39,49.58
Singapore,47.6,48.16,48.68,49.47,50.19,50.77,51.11,51.42,50.81,51.22,51.53,51.89,50.80,51.46,51.90,52.42,53.10,53.81,56.22,55.91,57.06,57.61,58.42,58.60,59.71,60.80,60.63,60.47
Thailand,67.2,66.77,66.38,65.99,65.63,66.43,67.36,67.64,66.37,65.40,65.84,65.61,65.53,65.47,65.37,65.70,64.79,65.27,65.29,64.80,64.46,65.96,65.17,63.01,62.46,60.96,60.66,60.47
Vietnam,73.2,73.25,73.22,73.19,73.13,73.04,72.95,72.88,72.85,72.85,72.79,72.75,72.71,72.65,72.57,72.48,72.40,72.31,72.26,72.24,72.48,72.80,73.18,73.60,73.91,73.38,73.20,73.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
