Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,1.09,1.11,1.1,1.08,,,,1.06,1.06,1.04,1.04,1.03,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.01,1,1.01,1.02,
Cambodia,,,,,,,,,0.54,0.53,0.55,0.57,0.6,0.64,0.7,,0.79,0.82,0.85,,,,,,
Indonesia,0.83,0.82,0.83,0.81,0.85,0.86,0.86,,,0.95,0.97,0.98,0.99,0.99,0.99,0.99,1.01,1.01,0.99,1,1.01,1.01,1.03,0.98,
Lao People's Democratic Republic,0.69,,0.66,0.63,0.65,0.66,0.67,0.67,0.69,0.69,0.7,0.71,0.73,0.74,0.75,0.76,0.78,0.79,0.8,0.82,0.83,0.85,0.87,0.89,
Malaysia,1.07,1.05,1.07,1.07,1.08,1.09,,1.07,1.1,1.09,1.09,1.08,1.08,1.09,1.08,1.04,1.02,1,0.99,0.98,0.97,0.97,0.94,,
Myanmar,0.92,0.96,0.98,0.99,0.99,,,,,0.98,1.05,0.94,0.93,0.93,0.92,0.97,0.98,1,,1.02,1.05,,,,
Philippines,1.04,,,,,,,,1.1,1.1,,1.1,1.11,1.11,1.11,1.12,1.12,1.1,1.09,1.08,,,,1.07,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,1.04,0.96,0.96,0.98,,,,,,,,0.97,1,,1.07,1.06,1.07,1.08,1.07,1.07,1.06,1.06,1.06,1.08,
Viet Nam,,,,,,,,,0.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
