Country,1990,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunnei Darussalam,,,,,,,,,,,,,,,,,,,,
Cambodia,,5.80,5.80,,8.20,7.40,7.40,7.40,9.80,9.80,9.80,9.80,19.50,16.30,21.10,21.10,20.30,20.30,20.30,20.30
Indonesia,12.40,12.60,11.40,11.40,,8.00,8.00,8.00,8.00,11.30,11.30,11.30,11.60,11.60,18.00,18.00,18.20,18.60,18.60,17.10
Lao PDR,6.30,9.40,,21.20,21.20,21.20,21.20,22.90,22.90,22.90,22.90,25.20,25.20,25.20,25.20,25.20,25.00,25.00,25.00,25.00
Malaysia,5.10,7.80,7.80,7.80,,10.40,10.40,10.40,10.50,9.10,9.10,9.10,10.00,10.80,9.90,9.90,10.40,10.40,10.40,10.40
Myanmar,,,,,,,,,,,,,,,,4.30,3.50,6.00,5.60,6.20
Philippines,9.10,10.80,11.10,12.40,12.40,11.30,17.80,17.80,17.80,15.30,15.70,15.30,20.50,20.50,21.00,22.10,22.90,22.90,27.30,27.20
Singapore,4.90,2.50,4.80,4.80,4.30,6.50,11.80,11.80,16.00,16.00,16.00,24.50,24.50,24.50,23.40,23.40,22.20,24.20,25.30,25.30
Thailand,2.80,5.60,5.60,5.60,5.60,,9.20,9.20,9.20,8.80,10.80,8.70,11.70,11.70,13.30,13.30,15.80,15.80,15.80,6.10
Viet Nam,17.70,18.50,26.20,26.20,26.00,26.00,26.00,27.30,27.30,27.30,27.30,27.30,25.80,25.80,25.80,25.80,24.40,24.40,24.30,24.30
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
