Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,90.5,90.5,90.5,90.90000153,89.5,88.5,88,88.5,90,89.59999847,89.19999695,88.19999695,89,89.30000305,89.09999847,89.5,89.30000305,87.59999847,87.90000153,88.59999847,88.19999695,88.19999695,88.19999695,89.19999695,88.69999695,88.30000305,88.19999695
Cambodia,13.80000019,14.30000019,14.30000019,14.10000038,14.5,14.80000019,14.5,15.19999981,15.19999981,15.5,18.20000076,19.60000038,21,23.89999962,24.5,25.10000038,25.89999962,26.89999962,27.20000076,29.10000038,34.70000076,36,37,38.09999847,39.29999924,40.29999924,41.29999924
Indonesia,34.29999924,34,35.70000076,37,38.79999924,38.90000153,40.29999924,38.90000153,39.40000153,38.40000153,39.29999924,38.70000076,37.20000076,40.70000076,40.40000153,42.40000153,44.09999847,45.70000076,47.20000076,47.59999847,48.90000153,49.79999924,51.59999847,55.20000076,52.40000153,53.29999924,54.20000076
Malaysia,49,48.70000076,50.29999924,51.5,53.20000076,54.20000076,56.29999924,56.29999924,57.29999924,57.20000076,58.40000153,61.20000076,62.20000076,64.69999695,65.5,65.30000305,67.19999695,68.30000305,71,70.40000153,71.5,71.09999847,71.59999847,72,72.59999847,73.09999847,73.59999847
Myanmar,27.60000038,27.5,27.79999924,27.89999962,28.5,28.79999924,29.20000076,29.29999924,29.70000076,30.70000076,31.89999962,33,34.40000153,35.70000076,37,38.40000153,40,40.59999847,40.20000076,40.09999847,41.09999847,50.20000076,51.40000153,53,54.59999847,55.70000076,56.90000153
Philippines,59.79999924,59,58.59999847,59.40000153,59.20000076,60.29999924,61.09999847,62.09999847,61.59999847,63.70000076,62.70000076,63.59999847,63.70000076,64.69999695,64.30000305,65.09999847,65.80000305,66.30000305,67.80000305,68.40000153,68.59999847,68.69999695,69.90000153,69.59999847,71.09999847,71.80000305,72.69999695
Singapore,66.5,67.5,69,71.09999847,74.69999695,73.30000305,73.69999695,73.09999847,73.59999847,74.30000305,78.40000153,78.30000305,78.40000153,79.69999695,82.19999695,82.19999695,82,83.09999847,83.59999847,83.80000305,84.69999695,84.80000305,85.30000305,86.59999847,87.80000305,87.80000305,87.80000305
Thailand,25.89999962,24.79999924,27.70000076,28.20000076,29.70000076,31.39999962,32,34.40000153,36.40000153,35.5,37.79999924,37,38.59999847,40.29999924,40.70000076,40.40000153,40.59999847,41.5,44.79999924,45.70000076,45.59999847,44.59999847,43,47.29999924,47.70000076,48.5,49.09999847
Vietnam,19.10000038,19.29999924,19.79999924,20.39999962,20.89999962,21.20000076,23.70000076,25.5,24.89999962,23.60000038,23.89999962,25.20000076,25.39999962,26.39999962,27.39999962,28.20000076,28.70000076,29.5,30,31,32.29999924,33.70000076,34.29999924,34.40000153,36.70000076,37.79999924,38.90000153
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
