Name,Year,Duration,Rating,Votes,Metascore,Description
Logan,2017,137,8.1,840000.0,77.0,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Thor: Ragnarok,2017,130,7.9,822000.0,74.0,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Guardians of the Galaxy Vol  2,2017,136,7.6,765000.0,67.0,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
Dunkirk,2017,106,7.8,746000.0,94.0,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Spider-Man: Homecoming,2017,133,7.4,726000.0,73.0,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Get Out,2017,104,7.8,709000.0,85.0,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Wonder Woman,2017,141,7.3,703000.0,76.0,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Star Wars: Episode VIII - The Last Jedi,2017,152,6.9,677000.0,84.0,"Rey develops her abilities with the help of Luke Skywalker, as the Resistance prepares for battle against the First Order."
Blade Runner 2049,2017,164,8.0,674000.0,81.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Baby Driver,2017,113,7.5,618000.0,86.0,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
It,2017,135,7.3,612000.0,69.0,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Coco,2017,105,8.4,599000.0,81.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,559000.0,88.0,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
John Wick: Chapter 2,2017,122,7.4,516000.0,75.0,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Justice League,2017,120,6.1,481000.0,45.0,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
Jumanji: Welcome to the Jungle,2017,119,7.0,454000.0,58.0,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
The Shape of Water,2017,123,7.3,450000.0,87.0,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Kingsman: The Golden Circle,2017,141,6.7,366000.0,44.0,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
Kong: Skull Island,2017,118,6.7,352000.0,62.0,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden."
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,6.5,349000.0,39.0,Captain Jack Sparrow searches for the Trident of Poseidon to rule the sea while being pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle.
Beauty and the Beast,2017,129,7.1,336000.0,65.0,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
